year,month,day,hour,minute,second,xlsdatenum
1990,1,1,0,0,0,32874
1990,1,1,1,0,0,32874.04167
1990,1,1,2,0,0,32874.08333
1990,1,1,3,0,0,32874.125
1990,1,1,4,0,0,32874.16667
1990,1,1,5,0,0,32874.20833
1990,1,1,6,0,0,32874.25
1990,1,1,7,0,0,32874.29167
1990,1,1,8,0,0,32874.33333
1990,1,1,9,0,0,32874.375
1990,1,1,10,0,0,32874.41667
1990,1,1,11,0,0,32874.45833
1990,1,1,12,0,0,32874.5
1990,1,1,13,0,0,32874.54167
1990,1,1,14,0,0,32874.58333
1990,1,1,15,0,0,32874.625
1990,1,1,16,0,0,32874.66667
1990,1,1,17,0,0,32874.70833
1990,1,1,18,0,0,32874.75
1990,1,1,19,0,0,32874.79167
1990,1,1,20,0,0,32874.83333
1990,1,1,21,0,0,32874.875
1990,1,1,22,0,0,32874.91667
1990,1,1,23,0,0,32874.95833
1990,1,2,0,0,0,32875
1990,1,2,1,0,0,32875.04167
1990,1,2,2,0,0,32875.08333
1990,1,2,3,0,0,32875.125
1990,1,2,4,0,0,32875.16667
1990,1,2,5,0,0,32875.20833
1990,1,2,6,0,0,32875.25
1990,1,2,7,0,0,32875.29167
1990,1,2,8,0,0,32875.33333
1990,1,2,9,0,0,32875.375
1990,1,2,10,0,0,32875.41667
1990,1,2,11,0,0,32875.45833
1990,1,2,12,0,0,32875.5
1990,1,2,13,0,0,32875.54167
1990,1,2,14,0,0,32875.58333
1990,1,2,15,0,0,32875.625
1990,1,2,16,0,0,32875.66667
1990,1,2,17,0,0,32875.70833
1990,1,2,18,0,0,32875.75
1990,1,2,19,0,0,32875.79167
1990,1,2,20,0,0,32875.83333
1990,1,2,21,0,0,32875.875
1990,1,2,22,0,0,32875.91667
1990,1,2,23,0,0,32875.95833
1990,1,3,0,0,0,32876
1990,1,3,1,0,0,32876.04167
1990,1,3,2,0,0,32876.08333
1990,1,3,3,0,0,32876.125
1990,1,3,4,0,0,32876.16667
1990,1,3,5,0,0,32876.20833
1990,1,3,6,0,0,32876.25
1990,1,3,7,0,0,32876.29167
1990,1,3,8,0,0,32876.33333
1990,1,3,9,0,0,32876.375
1990,1,3,10,0,0,32876.41667
1990,1,3,11,0,0,32876.45833
1990,1,3,12,0,0,32876.5
1990,1,3,13,0,0,32876.54167
1990,1,3,14,0,0,32876.58333
